id,"type",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,"electricity",30299,32614,32650,32787,34015,34627,35288,33978,35048,35046,34628,35876,34647,32023,32405,34006,33646,34948,34889,36313,39734,36061,38256,38918,36918,38690,40045,40442,40537
2,"coal",70,60,48,46,46,44,34,38,41,32,29,19,33,24,22,10,8,6,4,0,0,0,0,0,0,0,0,0,0
3,"heating_oil",2306,2037,1793,1752,1910,2086,2856,2218,1747,2075,1309,1606,1853,2536,1895,1311,1891,1501,1306,1317,1561,970,1187,1044,777,725,807,656,421
4,"heating_cerosine",1762,1603,1596,1603,1477,1587,1846,1695,1562,1533,1182,921,890,1030,1249,1030,1008,795,576,537,635,473,393,378,226,187,174,124,112
5,"pertoleum_products",32,32,32,39,39,39,45,57,64,53,80,85,118,154,173,41,53,65,62,68,97,60,47,74,78,57,97,90,103
6,"wood",5673,5107,5009,5726,6112,5957,6345,6607,6286,6427,6614,6905,7878,7826,7357,7395,7509,7322,7304,7448,8361,7368,7657,6104,5268,5620,5411,4981,5637
7,"gas",0,0,0,0,0,0,0,0,0,0,1,24,23,23,33,60,39,41,36,40,46,38,41,43,44,39,42,89,90
8,"district_heating",286,295,273,288,260,290,320,276,297,326,238,326,333,375,417,427,502,568,718,751,1084,788,950,1083,1000,1037,1212,1271,1284
9,"gasoline",18000,17593,17231,17252,17206,16953,17156,16379,16520,16460,15974,16639,16550,16503,16611,16196,16580,15799,15008,14257,13437,12283,11564,10703,10150,9537,8899,8524,8096
10,"industrial_diesel",401,413,426,438,451,464,477,491,504,518,532,546,560,574,588,603,618,633,648,663,679,691,704,717,730,742,755,768,781
11,"car_diesel",678,741,718,694,777,799,977,1104,1146,1207,1298,1401,1561,2244,2923,3602,4268,5132,5888,6772,7662,8294,8974,9599,10152,10654,10582,9270,9567
12,"biofuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,85,259,343,467,502,599,610,611,682,1582,2357,1783