Province/State,m79,Country/Region,Last Update,Confirmed,Deaths,Recovered,lat,lon,
Hubei,156,Kina,1/26/2020 11:00 AM,1423,76,44,30.737812,112.238403,
Guangdong,156,Kina,1/26/2020 11:00 AM,146,,2,23.379032,113.763283,
Zhejiang,156,Kina,1/26/2020 11:00 AM,128,,1,29.159849,120.326447,
Henan,156,Kina,1/26/2020 11:00 AM,128,1,,33.875408,113.484016,
Chongqing,156,Kina,1/26/2020 11:00 AM,110,,,29.431585,106.912254,
Hunan,156,Kina,1/26/2020 11:00 AM,100,,,27.418,111.521,
Beijing,156,Kina,1/26/2020 11:00 AM,68,,2,39.904202,116.407394,
Anhui,156,Kina,1/26/2020 11:00 AM,70,,,30.600677,117.924896,
Shandong,156,Kina,1/26/2020 11:00 AM,63,,,35.893955,117.924896,
Sichuan,156,Kina,1/26/2020 11:00 AM,44,,,30.268,102.945,
Shanghai,156,Kina,1/26/2020 11:00 AM,40,1,1,31.2254,121.4890,
Guangxi,156,Kina,1/26/2020 11:00 AM,53,,,23.575,108.253,
Jiangxi,156,Kina,1/26/2020 11:00 AM,48,,,27.320,116.029,
Fujian,156,Kina,1/26/2020 11:00 AM,35,,,25.825,118.444,
Jiangsu,156,Kina,1/26/2020 11:00 AM,47,,1,33.096,119.366,
Hainan,156,Kina,1/26/2020 11:00 AM,22,,,35.920,100.346,
Shaanxi,156,Kina,1/26/2020 11:00 AM,22,,,35.744,108.365,
Liaoning,156,Kina,1/26/2020 11:00 AM,23,,,41.022,122.313,
Yunnan,156,Kina,1/26/2020 11:00 AM,19,,,25.252,101.861,
Heilongjiang,156,Kina,1/26/2020 11:00 AM,21,1,,48.747,127.980,
Tianjin,156,Kina,1/26/2020 11:00 AM,14,,,39.1237,117.1981,
Hebei,156,Kina,1/26/2020 11:00 AM,18,1,,39.410,117.241,
Shanxi,156,Kina,1/26/2020 11:00 AM,13,,,37.732,112.390,
Hong Kong,334,Hong Kong,1/26/2020 11:00 AM,8,,,22.2794,114.1628,
Inner Mongolia,156,Kina,1/26/2020 11:00 AM,11,,,45.938,111.621,
Gansu,156,Kina,1/26/2020 11:00 AM,14,,,37.873,100.525,
Guizhou,156,Kina,1/26/2020 11:00 AM,7,,,26.946,106.597,
Macau,446,Macau,1/26/2020 11:00 AM,6,,,22.1469,113.5792,
Ningxia,156,Kina,1/26/2020 11:00 AM,4,,,37.338,105.968,
Jilin,156,Kina,1/26/2020 11:00 AM,6,,,43.644,126.474,
Taiwan,158,Taiwan,1/26/2020 11:00 AM,4,,,18.594,118.328,
Xinjiang,156,Kina,1/26/2020 11:00 AM,5,,,42.191,84.943,
Qinghai,156,Kina,1/26/2020 11:00 AM,4,,,35.498,96.236,
Washington,840,USA,1/26/2020 11:00 AM,1,,,38.8951,-77.0366,
Illinois,840,USA,1/26/2020 11:00 AM,1,,,39.795,-89.266,
California,840,USA,1/26/2020 11:00 AM,2,,,38.6310,-92.5599,
Arizona,840,USA,1/26/2020 11:00 AM,1,,,34.216,-111.932,
N/A,392,Japan,1/26/2020 11:00 AM,4,,1,33.907,138.460,
N/A,764,Thailand,1/26/2020 11:00 AM,8,,2,13.151,101.490,
N/A,410,SÃ¸r Korea,1/26/2020 11:00 AM,3,,,35.818,128.260,
N/A,702,Singapor,1/26/2020 11:00 AM,4,,,1.3409,103.8246,
N/A,704,Vietnam,1/26/2020 11:00 AM,2,,,15.790,108.239,
N/A,250,Frankriket,1/26/2020 11:00 AM,3,,,48.192,0.055,
N/A,036,Australia,1/26/2020 11:00 AM,4,,,-25.820,131.528,
N/A,524,Nepal,1/26/2020 11:00 AM,1,,,28.417,84.130,
N/A,458,Malaysia,1/26/2020 11:00 AM,4,,,4.268,109.260,
Ontario,124,Canada,1/26/2020 11:00 AM,1,,,49.860,-84.737,